序號,公司中文名稱,品牌,適合展區(IFA),主要產品,分類說明
1,三大儀錶有限公司,Flash Star,IFA Global Markets,電流表、電壓表、三用電表,測量儀器屬於OEM/ODM供應商產品
2,上靖光電股份有限公司,SUNLIKE DISPLAY,IFA Global Markets,LED/LCD顯示器模組,顯示器模組為OEM/ODM供應商產品
3,世駿電子股份有限公司,TENMARS,IFA Global Markets,體溫計、風速計、空氣品質監測器,測量儀器屬於OEM/ODM供應商產品
4,亞克高科股份有限公司,ARCT,IFA Global Markets,呼叫器,工業/醫療通訊設備屬於OEM/ODM供應商產品
5,傑俐科技股份有限公司,GENIUS,IFA Global Markets,電源轉換器、逆變器,電源產品屬於OEM/ODM供應商產品
6,億威電子系統股份有限公司,EMMT,IFA Global Markets,工業物聯網平台,工業平台為B2B產品
7,元山科技工業股份有限公司,Y.S. TECH,IFA Global Markets,散熱風扇、直流馬達,散熱元件屬於OEM/ODM供應商產品
8,光鍵股份有限公司,HitPoint,IFA Global Markets,壓電式警報器,警報器元件屬於OEM/ODM供應商產品
9,凌羣電腦股份有限公司,SYSCOM,無符合展區,機器人、醫療軟體,工業機器人和醫療軟體不符合消費性電子展區
10,凌陽科技股份有限公司,Sunplus,IFA Global Markets,車用晶片、智能聲學晶片,晶片為OEM/ODM供應商產品
11,力群電子股份有限公司,MKS,IFA Global Markets,軟板FPC、按鍵,FPC和按鍵屬於OEM/ODM供應商產品
12,台灣嘉碩科技股份有限公司,TAISAW,電子移動館,汽車藍牙、行車紀錄器、胎壓監測器,車用電子產品符合電子移動館
13,台灣艾華電子工業股份有限公司,Taiwan Alpha,IFA Global Markets,開關、編碼器、可變電阻器,電子元件屬於OEM/ODM供應商產品
14,台灣電子系統設計自動化股份有限公司,TES-DA,無符合展區,EDA軟體(AutoDV),工業設計軟體不符合消費性電子展區
15,台達電子工業股份有限公司,Delta,IFA Global Markets,電源系統、變壓器,工業電源系統屬於OEM/ODM供應商產品
16,吉浩電子工業股份有限公司,GOE,IFA Global Markets,電源供應器,電源供應器屬於OEM/ODM供應商產品
17,吉發科技股份有限公司,GME,IFA Global Markets,電源適配器、充電器,電源適配器屬於OEM/ODM供應商產品
18,啓碁科技股份有限公司,WNC,IFA Global Markets,無線通訊模組,通訊模組屬於OEM/ODM供應商產品
19,啟悅國際股份有限公司,KeyJoy,IFA Global Markets,線材、USB連接器,線材連接器屬於OEM/ODM供應商產品
20,啟耀光電股份有限公司,GIO,IFA Global Markets,柔性基板、透明顯示器,顯示器基板屬於OEM/ODM供應商產品
21,啟雲科技股份有限公司,SPE3D,IFA Next,AI虛擬攝影棚、3D Picbot,AI和3D技術符合新創未來科技
22,嘉梅龍製網有限公司,CHML,IFA Global Markets,金屬網、過濾器材,金屬網和過濾器屬於OEM/ODM供應商產品
23,固緯電子實業股份有限公司,GW Instek,IFA Global Markets,示波器、信號產生器、電源供應器,測試儀器屬於OEM/ODM供應商產品
24,圖策科技股份有限公司,Graphen,IFA Next,AI軟體、自然語言處理,AI和NLP技術符合新創未來科技
25,士林電機廠股份有限公司,SHIHLIN,IFA Global Markets,馬達、變壓器、低壓開關,工業電機設備屬於OEM/ODM供應商產品
26,太能系統股份有限公司,Pacific Smart,電子移動館,車載通訊系統、儲能系統,車載系統符合電子移動館
27,奇景光電股份有限公司,Himax,IFA Global Markets,顯示驅動IC、CMOS影像感測器,顯示IC屬於OEM/ODM供應商產品
28,奔馳科技股份有限公司,Racer Tech,IFA Global Markets,IC設計、IP授權,IC設計屬於OEM/ODM供應商產品
29,富伯生醫科技(股)公司,RMBotics,無符合展區,醫療器材開發服務,醫療器材開發服務不符合消費性電子展區
30,寶應企業有限公司,AVR,IFA Global Markets,穩壓器,穩壓器屬於OEM/ODM供應商產品
31,展躍光電科技股份有限公司,OPLED,IFA Global Markets,LED產品、LED顯示器,LED產品屬於OEM/ODM供應商產品
32,崧虹科技股份有限公司,Convertek,IFA Global Markets,汽車顯示器,汽車顯示器屬於OEM/ODM供應商產品
33,希格諾科技股份有限公司,SignalPro,IFA Next,毫米波雷達、AIoT解決方案,AIoT和雷達技術符合新創未來科技
34,得益工業儀器有限公司,DEREE,IFA Global Markets,溫度計、照度計、三用電表,測量儀器屬於OEM/ODM供應商產品
35,悅特企業有限公司,EIC,IFA Global Markets,水質檢測儀,檢測儀器屬於OEM/ODM供應商產品
36,悅達科技股份有限公司,YODA,大眾通訊館,路由器、網路交換器,網路設備符合大眾通訊館
37,慧誠智醫股份有限公司,iMedtac,無符合展區,智慧醫療軟體,醫療軟體不符合消費性電子展區
38,戴克智慧股份有限公司,DAIKSO,無符合展區,醫療AI軟體,醫療AI軟體不符合消費性電子展區
39,承洧科技股份有限公司,CWE,IFA Global Markets,連接器、線材,連接器屬於OEM/ODM供應商產品
40,承鴻光電股份有限公司,Innvaslinx,IFA Global Markets,LCD、電子紙模組,顯示模組屬於OEM/ODM供應商產品
41,振生半導體股份有限公司,JMemTek,IFA Next,硬體資安IC,資安IC符合新創未來科技
42,擎宏電子企業有限公司,IDRC,IFA Global Markets,可程式電源供應器,電源供應器屬於OEM/ODM供應商產品
43,新一智能股份有限公司,OneSmart,IFA Next,AI顯示整合、自供電模組,AI技術符合新創未來科技
44,方略電子股份有限公司,PanelSemi,IFA Global Markets,混合基板,基板屬於OEM/ODM供應商產品
45,旭捷電子股份有限公司,MITS,IFA Global Markets,電源轉換器、光纖通訊零組件,電源和通訊零組件屬於OEM/ODM供應商產品
46,旭璟科技股份有限公司,STL,IFA Global Markets,LCD模組,LCD模組屬於OEM/ODM供應商產品
47,旭陽國際精機股份有限公司,GSA,無符合展區,馬達,工業馬達不符合消費性電子展區
