編號,公司名稱,產業類別,自有品牌,品牌英文,主要產品,備註,建議,IFA展區建議
1,台灣區電機電子工業同業公會-TEEMA,機器人及智慧自動化,N/A,N/A,-,行業協會,刪除,-
2,三大儀錶有限公司,先進儀器儀表,Flash Star,Flash Star,電流表、電壓表、三用電表,自有品牌,保留,IFA Next
3,上睿科技有限公司,電子零組件及配件,-,-,磁簧繼電器、連接器,主要為代工，無自有品牌,刪除,-
4,上靖光電股份有限公司,工業物聯及嵌入式系統,SUNLIKE,SUNLIKE,LED/LCD顯示器模組,自有品牌,保留,*無合適展區*
5,世駿電子股份有限公司,先進儀器儀表,TENMARS,TENMARS,體溫計、風速計、空氣品質監測器,台灣知名測量品牌,保留-重點,IFA Next
6,亞克高科股份有限公司,電機及自動化設備,ARCT,ARCT,呼叫器,自有品牌,保留,智慧居家館
7,仰勛企業有限公司,光電科技,-,-,多層電路板、太陽能模組,主要為ODM，無自有品牌,刪除,-
8,伍慶精密工業股份有限公司,電子零組件及配件,-,-,接線端子、FFC/FPC連接器,主要為OEM，無自有品牌,刪除,-
9,傑俐科技股份有限公司,消費性產品及車用電子,GENIUS,GENIUS,電源轉換器、逆變器,專業電源品牌,保留-重點,電子移動館
10,傑泰國際股份有限公司,電子零組件及配件,-,-,電子線、接線端子,主要為ODM，無自有品牌,刪除,-
11,億威電子系統股份有限公司,工業物聯及嵌入式系統,EMMT,EMMT,工業物聯網平台,自有品牌,保留,*無合適展區*
12,元山科技工業股份有限公司,電子零組件及配件,Y.S. TECH,Y.S. TECH,散熱風扇、直流馬達,全球知名散熱品牌,保留-重點,家庭用品館
13,元豐新科技股份有限公司,AI科技暨應用,-,-,微型化LED產品,需進一步確認，無自有品牌,刪除,-
14,兆曜綠能科技股份有限公司,電子零組件及配件,-,-,通訊電纜、USB連接器,主要為OEM，無自有品牌,刪除,-
15,先知科技股份有限公司,AI科技暨應用,-,-,工業物聯網解決方案,解決方案提供商，無自有品牌,刪除,-
16,光鍵股份有限公司,電子零組件及配件,HitPoint,HitPoint,壓電式警報器,自有品牌,保留,IFA Global Markets
17,全冠企業有限公司,電子零組件及配件,-,-,配線器材、紮線帶,主要為OEM，無自有品牌,刪除,-
18,公旭實業股份有限公司,電機及自動化設備,-,-,鋁擠型、電腦散熱裝置,主要為OEM，無自有品牌,刪除,-
19,凌羣電腦股份有限公司,機器人及智慧自動化,SYSCOM,SYSCOM,機器人、醫療軟體,自有品牌,保留,智慧居家館
